team,games,win,draw,loss,prizes,href_key
Case Esports,14,5,0,9,3000,case-esports
.Colombia,10,3,1,6,3000,colombia451
Damage Control,3,0,0,3,3000,damage-control1040
Exertus,6,2,0,4,3000,united5-cs-go
FENNEC,3,0,0,3,3000,fennec1108
Force of Nature,5,2,0,3,3000,force-of-nature74
FrenchFrogs,9,4,0,5,3000,frenchfrogs
HEET,46,25,0,21,3000,heet
KPI Gaming,9,2,0,7,3000,kpi-gaming2385
OFFSET Esports,18,4,0,14,3000,offset-esports
PiTER,15,5,0,10,3000,piter4764
Pnda Gaming,2,0,0,2,3000,pnda-gaming1412
Project C,2,1,0,1,3000,project-c
Swift,3,1,0,2,3000,swift1014
Team Karma,7,4,0,3,3000,team-karma5858
Vireo.pro,8,2,0,6,3000,vireo-pro
W7M Gaming,8,3,0,5,2998,w7m-gaming
Delete,7,2,0,5,2750,delete5815
INDE IRAE eSports,17,9,0,8,2695,inde-irae-esports
Paquetá Gaming,10,6,0,4,2626,paqueta-gaming
XenoDragons,0,,,,2500,xenodragons
Arcade eSports,19,10,0,9,2500,arcade-esports-cs-go
ex-Singularity,4,1,0,3,2500,ex-singularity
HMS,1,1,0,0,2500,hms3413
Nexus,4,2,0,2,2500,nexus119
ONYX,10,5,0,5,2500,onyx
PixelFire Gaming,16,5,2,9,2500,pixelfire-gaming
Team AGG,48,22,1,25,2500,team-agg-pl
Tikitakan,5,3,0,2,2500,tikitakan
Torpedo,30,14,2,14,2500,torpedo
XPC Gaming,16,9,0,7,2500,xpc4606
Германия,15,8,1,6,2500,2200
Канада,11,6,0,5,2500,2216
Кыргызстан,4,1,0,3,2500,935
Норвегия,15,8,1,6,2400,5031
ALSEN Female,12,5,0,7,2300,alsen-female
MAXISAUCISSE,4,0,0,4,2250,maxisaucisse7189
CSGO.ONE,43,14,5,24,2200,team-orbit
Ases e-Sports Club,3,1,0,2,2000,ases-e-sports-club-cs-go
Arcane Wave,2,0,0,2,2000,arcane-wave
Asterion,27,14,0,13,2000,asterion
Binary Dragons,32,11,0,21,2000,binary-dragons
Ethereal,16,8,0,8,2000,ethereal-1
EZskins.com,6,1,1,4,2000,ezskins-com
flowskola,2,0,0,2,2000,flowskola
GamePub.ENTiTY,41,10,1,30,2000,ination-cs-go
HUMMER Esports,7,2,0,5,2000,sao-caetano-esports
Instinct Gaming,2,0,0,2,2000,instinct-gaming
LEGO,7,2,0,5,2000,lego
Lynn Vision Gaming,12,3,0,9,2000,lynn-vision-gaming
Marskalk,5,1,0,4,2000,marskalk
Mindfreak,2,0,0,2,2000,mindfreak-1
nEophyte,2,0,0,2,2000,neophyte1858
Nixuh,2,0,0,2,2000,nixuh
pride,1,0,0,1,2000,pride-1
Rush,31,2,0,29,2000,rush6194
SJ Gaming,133,53,0,80,1950,vitalis7760
Team YP,26,12,0,14,1949,team-youporn
Exertus eSports Female,7,4,0,3,1949,exertus-esports-female
Millenium Ladies,15,6,0,9,1875,millenium-female
Alpha Gaming,7,0,0,7,1800,alpha-gaming
USSR Team,49,12,1,36,1750,ussr-cs-go
RuSh3D,8,7,0,1,1700,rush3d8557
Minttu,5,3,0,2,1600,minttu393
ENSO,9,3,0,6,1600,enso2994
Team LDLC Blue,11,6,0,5,1592,ldlc-blue5208
Red Reserve Female,5,4,0,1,1506,red-reserve-female5706
Ambush,29,5,0,24,1500,ambush9817
c0ntact Gaming,47,15,0,32,1500,c0ntact-gaming
EL1TEGAM3RS1337,3,3,0,0,1500,el1tegam3rs13372443
eParadise Angels,5,4,0,1,1500,eparadise-angels
Game Show,16,7,0,9,1500,game-show3860
Homeless,2,0,0,2,1500,homeless-cs-go
MASONIC,9,2,0,7,1500,masonic
Mock-it Esports,4,2,0,2,1500,mock-it-esports
Rooster,8,4,0,4,1500,rooster
Rynnäkköviikset,6,2,1,3,1500,rynn-kk-viikset5218
Team 3DMAX,20,8,1,11,1500,3dmax-cs-go
Team NKT,4,1,0,3,1500,team-nkt
Third Impact,2,0,0,2,1500,third-impact-1
WINDINGO,1,0,0,1,1500,windingo
Without Warning,3,2,0,1,1400,without-warning
B8 Esports,18,8,0,10,1400,b8-esports
Dark Sided,3,1,0,2,1387,dark-sided4903
HEY,7,5,0,2,1375,hey
PLINK,13,4,0,9,1300,plink-tech
Whatsup,2,1,0,1,1289,whatsup
EDward Gaming,18,6,2,10,1270,edward-gaming-csgo
Exertus,1,0,0,1,1270,exertus9668
INFINITY,15,1,2,12,1250,infinty5472
NEWBELARUS,6,3,0,3,1250,newbelarus
Trasko Esports,8,4,0,4,1243,trasko-esports
EnVyUs Academy,32,16,0,16,1192,envyus-academy7971
Nostalgie,45,12,1,32,1129,nostalgie
Unicorns of Love,78,30,0,48,1100,unicorns-of-love
PARTY,5,2,0,3,1000,party5399
ACE Gaming,5,1,0,4,1000,ace
Budapest Five,38,15,0,23,1000,budapest-five
COMEBACK,3,2,0,1,1000,comeback2363
eClub Brugge,20,6,0,14,1000,eclub-brugge
Entity Gaming,5,1,0,4,1000,entity-gaming
ENZO,10,1,2,7,1000,enzo8297
Esports Club Kyiv,15,5,0,10,1000,esports-club-kyiv
EYESPORTS Female,9,3,0,6,1000,eyesports-female6188
Fragbite.se ,14,8,0,6,1000,fragbite-se-3440
G1 Gaming,2,1,0,1,1000,g1-gaming
Genuine Gaming,3,0,0,3,1000,genuine-gaming-1
GORILLAZ,3,1,0,2,1000,gorillazzz
Ground Zero Gaming,12,4,0,8,1000,ground-zero-gaming
Helsinki REDS,0,,,,1000,helsinki-reds
HONORIS,36,10,0,26,1000,honoris
ImPerium Esports,5,0,0,5,1000,imperium-esports
LGR,13,6,0,7,1000,lgr819
Long Amazing Zebra Ears,2,0,0,2,1000,long-amazing-zebra-ears
M1 EDEN,2,0,0,2,1000,m1-eden
myXMG Staff,7,6,0,1,1000,myxmg-staff6578
North 2vs2,7,4,0,3,1000,north-2vs24925
PANTHERS Gaming,18,10,0,8,1000,the-panthers
RANKS,5,3,0,2,1000,ranks2667
Recursive,2,1,0,1,1000,recursive5528
Revolution,4,0,0,4,1000,revolution
Team Expert,14,8,0,6,1000,team-heaven7163
TEAMSWAGYOLO,6,1,0,5,1000,teamswagyolo
TSG,2,0,0,2,1000,tsg
WINSIDE eSports,11,5,0,6,1000,winside-esports
xPlayers,1,0,0,1,968,xplayers1658
Awsomniac,2,0,0,2,862,awsomniac
Red Instinct,2,0,0,2,862,red-instinct4178
WE GOT GAME,2,0,0,2,758,we-got-game4135
Havan Liberty,7,3,0,4,758,havan-liberty-1
Meta Gaming,6,3,0,3,758,meta-gaming-2
Santos e-Sports,7,3,0,4,758,santos-e-sports
Windigo Academy,18,7,0,11,750,windigo-academy
Clutchit.org,3,2,0,1,750,clutchit-org8488
Mazaalai,6,4,0,2,700,mazaalai
Enemy,20,7,2,11,700,enemy1462
Games Academy,10,6,0,4,680,games-academy1176
PANTERS,9,1,3,5,670,panters6910
zARLANS,9,1,0,8,650,zarlans4528
ESC Gaming,48,16,3,29,558,esc-gaming
GreyFace,7,0,0,7,558,greyfacenospace3237
Lilmix,21,6,0,15,550,lilmix
RCTIC,3,1,0,2,500,rctic3853
1GAME.ua,14,9,0,5,500,1game-ua6015
5balls,17,4,0,13,500,5balls
Armata,6,1,0,5,500,armata8131
ASG,20,8,0,12,500,ave
Dire Wolves,4,2,0,2,500,dire-wolves-1
DizLown,9,3,0,6,500,dizlown8729
GOSLTV,9,5,0,4,500,sltv-squad4789
k1ck eSports Club,79,30,2,47,500,k1ck-cs-go
Manatee eSports,9,5,0,4,500,manatee-esports4993
Monolith Gaming,28,10,1,17,500,monolith-gaming
tba.Ladies,3,2,0,1,500,tba-ladies
Tempest,3,2,0,1,500,tempest6315
Temp.no,18,6,0,12,400,epiphany-bolt4409
eXplosive,9,0,0,9,390,explosive
